"INSTITUTION","WEBADDR","CITY","STATE","ACCREDITED (Y/N)","ACCREDITATION","PUBLIC","PRIVATE","4-YEAR","2 YEAR (Assoc.)","GRAD","TECHNICAL","APPRENTICE","K-12","# TOTAL PROG","# STEM PROG","ACADEMIC","ONLINE/IN PERSON","START DATE","PROG LENGTH","# BATT SPECIFIC PROGRAMS","# BATT RELATED","BATT SPECIFIC","SPECIFIC PROGRAM TYPE","COURSE #","PROG NAME","PROG POC","PROG E-MAIL","PROG PHONE","PROG WEB","PROG PREREQ:","PROG COST","AVENUES FOR FUNDING","PROG ADDRESS","PROSPECTIVE JOBS (Rough Estimate)"
"Ohio State University-Main Campus","www.osu.edu/","Columbus","Ohio ","Yes","HLC","Yes","No","Yes","No","Yes","Yes","No","No","506","52","Yes","In Person","Fall","1 semester","3","1","Yes","Course","Unknown","Energy Storage Systems for Automotive Applications","Marcello Canova","canova.1@osu.edu","614-247-2336","https://car.osu.edu/energy-storage-systems-automotive-applications","Intermediate knowledge of Matlab/Simulink, Completion of Introduction to Powertrain Electrification short course (encouraged but not required)","https://sfa.osu.edu/","Financial Aid: Scholarships, Grants, Loans","Center for Automotive Research, 930 Kinnear Road, Columbus, OH 43212","Energy systems engineer, energy systems analyst, energy materials engineer, battery engineer"
"Ohio State University-Main Campus","www.osu.edu/","Columbus","Ohio ","Yes","HLC","Yes","No","Yes","No","Yes","Yes","No","No","506","52","Yes","In Person","Fall","2-6 years","3","1","Yes","Research","CBE 560","Electrochemical Technology","Jung Hyun Kim","kim.6776@osu.edu","614-292-6081","https://mae.osu.edu/battery","Contact POC for more information","Contact POC for more information","Grants","Room #225, Center for Automotive Research, 930 Kinnear Rd, Columbus, OH 43212","Energy systems engineer, energy systems analyst, energy materials engineer, battery engineer"
"Ohio State University-Main Campus","www.osu.edu/","Columbus","Ohio ","Yes","HLC","Yes","No","Yes","No","Yes","Yes","No","Yes","506","52","Yes","In Person","Summer","1 week","3","1","Yes","Summer Camp","Program","Camp CAR","Colleen Herr","herr.40@osu.edu","614-264-7716","https://car.osu.edu/camp-car","Be a highschooler aged 14-18","None","None","Center for Automotive Research, 930 Kinnear Road, Columbus, OH 43212","Automotive specialist, electrical engineer, battery systems engineer, controls engineer"
"Indiana University-Indianapolis","https://indianapolis.iu.edu/","Indianapolis","Indiana","Yes","HLC","Yes","No","Yes","Yes","Yes","Yes","No","No","2446","356","Unknown","Unknown","Unknown","Unknown","0","0","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Financial Aid: Scholarships, Grants, Loans","420 University Blvd, Indianapolis, IN 46202","Unknown"
"The University of Tennessee-Knoxville","www.utk.edu/","Knoxville","Tennessee","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","900","46","Yes","In Person","Fall","1 semester","2","0","Yes","Course","CBE 560","Electrochemical Technology","Thomas Zawodzinski","tzawodzi@tennessee.edu","865?974?2421","https://catalog.utk.edu/content.php?catoid=25&navoid=3199&filter%5Bitem_type%5D=3&filter%5Bonly_active%5D=1&filter%5B3%5D=1&filter%5Bcpage%5D=7&print=&contract#:~:text=Add%20to%20My,560%C2%A0%2D%C2%A0Electrochemical%20Technology","Contact POC for more information","https://www.utk.edu/admissions/tuition-aid","Financial Aid: Scholarships, Grants, Loans","419 Dougherty Engineering Building, 1512 Middle Dr, Knoxville, TN 37996","Battery systems engineer; electrochemical R&D researcher"
"The University of Tennessee-Knoxville","www.utk.edu/","Knoxville","Tennessee","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","900","46","Yes","In Person/Online","Fall","1 year","2","0","Yes","Certificate","PHYS 4624","Advanced Battery Technology and Design","Graduate Certificate Coordinator, EECS Department","eecs@utk.edu","865?974?2341","https://eecs.utk.edu/graduate/power-and-energy-systems-graduate-certificate/","Contact POC for more information","https://www.utk.edu/admissions/tuition-aid","Financial Aid: Scholarships, Grants, Loans","Min H. Kao Building, Suite 401, 1520 Middle Dr, Knoxville, TN 37996","Power systems engineer; battery integration specialist; energy storage analyst"
"The University of Tennessee-Chattanooga","utc.edu/","Chattanooga","Tennessee","Yes","SACSCOC","Yes","No","Yes","No ","Yes","Yes","No","No","150","31","Yes","In Person","Fall","2-6 years","0","3","No","Research","Program","Sustainable and Smart Energy Systems","Dr. Vahid Disfani","Vahid-Disfani@utc.edu","423-425-4354","https://www.utc.edu/research/research-institute/focus-areas/sustainable-and-smart-energy-systems","Contact POC for more information","Contact POC for more information","Grants","450 ECS Buidling, Dept 2452, 615 McCallie Ave, Chattanooga, TN 37403","Energy systens engineer, energy systems analyst"
"The University of Tennessee-Chattanooga","utc.edu/","Chattanooga","Tennessee","Yes","SACSCOC","Yes","No","Yes","No ","Yes","Yes","No","No","150","31","Yes","In Person","Fall","4 years","0","3","No","Bachelor's","Program","Mechanical Engineering","College of Engineering and Computer Science","cecs@utc.edu","423-425-2256","https://www.utc.edu/engineering-and-computer-science/academic-programs/mechanical-engineering/ugrad-curriculum","Highschool diploma/GED","https://www.utc.edu/enrollment-management-and-student-affairs/financial-aid-and-scholarships/estimating-your-cost","Financial Aid: Scholarships, Grants, Loans","450 ECS Buidling, Dept 2452, 615 McCallie Ave, Chattanooga, TN 37403","Mechanical design engineer, automotive engineer, aerospace engineer, energy systems engineer, robotics engineer, HVAC engineer"
"The University of Tennessee-Chattanooga","utc.edu/","Chattanooga","Tennessee","Yes","SACSCOC","Yes","No","Yes","No ","Yes","Yes","No","No","150","31","Yes","In Person/Online","Fall","4 years","0","3","No","Bachelor's","Program","Electrical Engineering","College of Engineering and Computer Science","cecs@utc.edu","423-425-2256","https://www.utc.edu/engineering-and-computer-science/academic-programs/electrical-engineering/student-resources","Highschool diploma/GED","https://www.utc.edu/enrollment-management-and-student-affairs/financial-aid-and-scholarships/estimating-your-cost","Financial Aid: Scholarships, Grants, Loans","450 ECS Buidling, Dept 2452, 615 McCallie Ave, Chattanooga, TN 37403","Power systems engineer, smart grid specialist, embedded systems engineer, telecommunications engineer, control systems engineer, automation engineer"
"The University of Tennessee Southern","https://www.utsouthern.edu/","Pulaski","Tennessee","Yes","SACSCOC","Yes","No","Yes","No ","No","Yes","No","No","30","6","Unknown","Unknown","Unknown","Unknown","0","0","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Financial Aid: Scholarships, Grants, Loans","433 W Madison St, Pulaski, TN 38478","Unknown"
"The University of Tennessee Southern","https://www.utsouthern.edu/","Martin","Tennessee","Yes","SACSCOC","Yes","No","Yes","No ","Yes","Yes","No","No","180","30","Unknown","Unknown","Unknown","Unknown","0","0","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Financial Aid: Scholarships, Grants, Loans","554 University St, Martin, TN 38238","Unknown"
"University of Georgia","www.uga.edu/","Athens","Georgia","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","464","108","Yes","In Person","Fall","4-7 years","2","0","Yes","PhD","Program","PhD Engineering  Energy Systems Emphasis","Angela Y. Birkes","abirkes@uga.edu","706-542-0058","https://engineering.uga.edu/degree/phd-engineering-energy-systems-emphasis/","https://engineering.uga.edu/prospective-students/graduate/#:~:text=ADMISSION%20REQUIREMENTS","https://osfa.uga.edu/types-of-aid/graduate/","Financial Aid: Scholarships, Grants, Loans","Driftmier Engineering Center, 597 DW Brooks Drive, Athens, GA 30602","Energy systems engineer; battery systems researcher; policy advisor"
"University of Georgia","www.uga.edu/","Athens","Georgia ","Yes","SACSCOC","Yes","No","Yes","No ","Yes","Yes","No","No","464","108","Yes","In Person","Fall/Spring","1 year","2","0","Yes","Certificate","Program","Undergraduate Certificate in Electric Mobility","Office of Research & Academic Affairs","engr-academic@uga.edu","706-542-0860","https://engineering.uga.edu/about/contact/","Highschool diploma/GED","https://osfa.uga.edu/","Financial Aid: Scholarships, Grants, Loans","Driftmier Engineering Center, 597 DW Brooks Drive, Athens, GA 30602","Electrical engineer, electrical systems engineer"
"Georgia Southern University","www.georgiasouthern.edu/","Statesboro","Georgia ","Yes","SACSCOC","Yes","No","Yes","No ","Yes","Yes","No","No","230","40","Yes","In Person","Fall","4 years","0","1","No","Bachelor's","Program","Electrical Engineering","Dr. Rami Haddad","rhaddad@georgiasouthern.edu","912-478-8582","https://www.georgiasouthern.edu/degrees/bs-electrical-engineering","Highschool diploma/GED","https://www.georgiasouthern.edu/admissions-aid/tuition-and-scholarships","Financial Aid: Scholarships, Grants, Loans","Georgia Southern University, 1100 I.T. Drive, BLDG 255, Room 1313, Statesboro, GA 30458","Firmware engineer, hardware engineer, network technician, programmer analyst, systems analyst"
"University of West Georgia","www.westga.edu/","Carrollton","Georgia ","Yes","SACSCOC","Yes","No","Yes","No ","Yes","Yes","No","No","210","32","Yes","In Person","Fall","4 years","2","0","Yes","Bachelor's","Program","B.S. Physics  Battery Technology & Sustainable Energy Concentration","Dr. Gary Neal Chesnut","nchesnut@westga.edu","678?839?4094","https://westga.edu/assets/advising/docs/pm-2025-26/phys/physics-battery.pdf","Admission to Physics BS; PHYS 3613 prerequisite for concentration-specific courses","https://www.westga.edu/student-services/financialaid/tuition-and-fees.php","Financial Aid: Scholarships, Grants, Loans","Technology-Enhanced Learning Center, 210 W Georgia Dr, Carrollton, GA 30117","Energy Storage Engineer; Battery Test Technician; R&D Engineer"
"University of West Georgia","www.westga.edu/","Carrollton","Georgia ","Yes","SACSCOC","Yes","No","Yes","No ","Yes","Yes","No","No","210","32","Yes","In Person","Fall","1 semester","2","0","Yes","Course","PHYS 4624","Advanced Battery Technology and Design","Dr. Gary Neal Chesnut","nchesnut@westga.edu","678?839?4095","https://www.westga.edu/assets/faculty-senate/docs/fs-agendas-minutes/FS_Agenda_Feb25.pdf?utm_source=chatgpt.com"," PHYS?3613 (Electronics) ","https://www.westga.edu/student-services/financialaid/tuition-and-fees.php","Financial Aid: Scholarships, Grants, Loans","Technology-Enhanced Learning Center, 210 W Georgia Dr, Carrollton, GA 30117","Battery Systems Engineer; R&D Technician; Sustainable Energy Specialist"
"The University of Alabama","www.ua.edu/","Tuscaloosa","Alabama","Yes","SACSCOC","Yes","No","Yes","No ","Yes","Yes","No","No","200","54","Yes","In Person","Fall","1 year","3","1","No","Minor","Program","Energy","Dr. S. Nima Mahmoodi","nmahmoodi@eng.ua.edu","205-348-5056","https://catalog.ua.edu/undergraduate/engineering/mechanical/energy-minor/#text","Contact POC for more information","https://afford.ua.edu/cost/","Financial Aid: Scholarships, Grants, Loans","Department of Mechanical Engineering, The University of Alabama, 251 Shelby Lane, Tuscaloosa, AL 35287","Energy systems engineer, energy systems analyst, energy materials engineer, battery engineer"
"The University of Alabama","www.ua.edu/","Tuscaloosa","Alabama","Yes","SACSCOC","Yes","No","Yes","No ","Yes","Yes","No","No","200","54","No","In Person","Fall","1 year","3","1","Yes","Research","Program","BAMA Battery Challenge","Dr. Jaber Abu-Qahouq","jaberq@eng.ua.edu","205-348-8669","https://manderson.culverhouse.ua.edu/bama-battery-challenge-team/","Contact POC for more information","Contact POC for more information","Grants","Hardaway Hall, 401 7th Avenue, Tuscaloosa, AL 35401","Battery systems engineer, battery specialist, battery management specialist"
"The University of Alabama","www.ua.edu/","Tuscaloosa","Alabama","Yes","SACSCOC","Yes","No","Yes","No ","Yes","Yes","No","No","200","54","Yes","In Person","Fall","2-6 years","3","1","Yes","Research","Program","The Energy and Power Electronics Systems and Devices Lab","Dr. Jaber Abu-Qahouq","jaberq@eng.ua.edu","205-348-8669","https://sites.ua.edu/jaberq/","Contact POC for more information","Contact POC for more information","Grants","Department of Electrical and Computer Engineering, The University of Alabama, 251 Shelby Lane, Tuscaloosa, AL 35487","Battery systems engineer, battery specialist, battery management specialist"
"The University of Alabama","www.ua.edu/","Tuscaloosa","Alabama","Yes","SACSCOC","Yes","No","Yes","No ","Yes","Yes","No","No","200","54","Yes","In Person","Fall","2-6 years","3","1","Yes","Research","Program","Energy Storage and Fuel Cells","Dr. Bharat Balasubramanian","bharat@eng.ua.edu","205-348-4319","https://cavt.eng.ua.edu/focus/energy-storage-and-fuel-cells/","Contact POC for more information","Contact POC for more information","Grants","UA Center for Advanced Vehicle Technologies, Cyber Hall, 248 Kirkbride Ln, Tuscaloosa, AL 35401","Battery systems engineer, battery specialist, battery management specialist"
"University of Alabama at Birmingham","https://www.uab.edu/","Birmingham","Alabama","Yes","SACSCOC","Yes","No","Yes","No ","Yes","Yes","No","No","183","56","Yes","In Person","Fall","4 years","0","1","No","Bachelor's","Program","Electrical and Computer Engineering","Leon Jololian","leon@uab.edu","205-975-0391","https://www.uab.edu/engineering/ece/undergraduate/major","Highschool diploma/GED","https://www.uab.edu/cost-aid/cost/detailed-tuition-fees","Financial Aid: Scholarships, Grants, Loans","Department of Electrical and Computer Engineering, Gorrie Hall, 5th floor, 902 14th Street South, Birmingham, AL 35233","Electrical engineer, electrical systems engineer"
"University of Alabama in Huntsville","www.uah.edu/","Huntsville","Alabama","Yes","SACSCOC","Yes","No","Yes","No ","Yes","Yes","No","No","100","30","Yes","In Person","Fall","1 semester","1","0","Yes","Research","Program","Multiscale Transport and Energy Conversion","George Nelson","georgenelson@uah.edu","256-824-5082","https://mtec.uah.edu/home","Graduate standing in engineering","https://www.uah.edu/admissions/undergraduate/financial-aid#:~:text=How%20Much%20Does%20It%20Cost%20to%20Attend%3F","Financial Aid: Scholarships, Grants, Loans","Shelby Center, Room 309, 301 Sparkman Drive, Huntsville, AL, 35899","Battery R&D Engineer; Energy Storage Analyst; Electrochemical Systems Specialist"
"The University of Texas at Arlington","https://www.uta.edu/","Arlington","Texas","Yes","SACSCOC","Yes","No","Yes","No ","Yes","Yes","No","No","280","107","Yes","In Person","Fall/Spring","1 Semester","0","1","No","Course","MAE 4382","Research Trends in Renewable Energy Technologies","MAE Undergraduate Academic Advising","maeundergrad@uta.edu","817-272-2561","https://catalog.uta.edu/coursedescriptions/mae/#:~:text=MAE%C2%A04382.%20RESEARCH%20TRENDS%20IN%20RENEWABLE%20ENERGY%20TECHNOLOGIES.%203%20Hours.","Must be in the professional ME or AE program","https://www.uta.edu/administration/fao/average-cost","Financial Aid: Scholarships, Grants, Loans","Woolf Hall, Room 211, 500 West First Street, Arlington, TX 76019","Energy systems researcher; Renewable energy engineer; Battery systems analyst"
"The University of Texas at Austin","https://www.utexas.edu/","Austin","Texas","Yes","SACSCOC","Yes","No","Yes","No ","Yes","Yes","No","No","370","129","Yes","In Person","Fall","1-2 years","2","1","No","Master's","Program","Graduate Portfolio Program in Energy Studies","Dave Tuttle","dptuttle@energy.utexas.edu","Unknown","https://energy.utexas.edu/education/gppes","Bachelor's degree","https://onestop.utexas.edu/managing-costs/cost-tuition-rates/","Financial Aid: Scholarships, Grants, Loans","Flawn Academic Center, 3rd Floor, Room 344, 2304 Whitis Ave, C2400, Austin, TX 78712","Battery engineer; Energy storage R&D; EV systems analyst"
"The University of Texas at Austin","https://www.utexas.edu/","Austin","Texas","Yes","SACSCOC","Yes","No","Yes","No ","Yes","Yes","No","No","370","129","Yes","In Person","Fall","1 semester","2","1","Yes","Course","ME 386T","Topics in Materials Science: The Design of Technical Materials - Battery Systems Engineering","Graduate Office","graduate-office@me.utexas.edu","512-471-1136","https://catalog.utexas.edu/general-information/coursesatoz/m-e/#:~:text=Topic%205%3A%20Battery%20Systems%20Engineering.","Graduate standing and consent of intructor","https://onestop.utexas.edu/managing-costs/cost-tuition-rates/","Financial Aid: Scholarships, Grants, Loans","Walker Department of Mechanical Engineering, The University of Texas at Austin, 204 E. Dean Keeton Street, ETC II 5.160, Austin, TX 78712","Battery engineer; Energy storage R&D; EV systems analyst"
"The University of Texas at Austin","https://www.utexas.edu/","Austin","Texas","Yes","SACSCOC","Yes","No","Yes","No","Yes","No","No","No","370","129","Yes","In Person","Fall","2-6 years","2","1","Yes","Research","Program","Texas Materials Institute - Battery Group","Cockrell School Research Relations Office","researchrelations@engr.utexas.edu","Unknown","https://batteries.engr.utexas.edu/","Contact POC for more information","Contact POC for more information","Financial Aid: Scholarships, Grants, Loans","Ernest Cockrell Jr. Hall, 10th Floor, 301 E. Dean Keeton St., Austin, TX 78705","Battery Scientist"
"The University of Texas at Dallas","www.utdallas.edu/","Richardson","Texas","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","152","94","Yes","In Person","Fall/Spring","1 semester","1","1","Yes","Course","MSEN 4306","Batteries and Energy Storage Devices","Department of Materials Science & Engineering","mse@utdallas.edu","972?883?2222","https://catalog.utdallas.edu/2024/undergraduate/courses/msen4306","MSEN 3304 (Materials Science I)","https://www.utdallas.edu/costs-scholarships-aid/costs/tuition/","Financial Aid: Scholarships, Grants, Loans","Physics & Materials Science Building, 800 W Campbell Rd, Richardson, TX 75080","Battery design engineer; Energy storage systems analyst; R&D technician"
"The University of Texas at Dallas","www.utdallas.edu/","Richardson","Texas","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","152","94","Yes","In Person","Fall","1 year","1","1","No","Certificate","Program","Certificate in Sustainable Energy","Department of Materials Science & Engineering","mse@utdallas.edu","972?883?2222","https://catalog.utdallas.edu/2024/undergraduate/programs/ecs/certificates#sustainable-engergy-cert:~:text=taking%20the%20course.-,Certificate%20in%20Sustainable%20Energy%20Engineering,-9%20semester%20credit","Highschool diploma/GED","https://www.utdallas.edu/costs-scholarships-aid/costs/tuition/","Financial Aid: Scholarships, Grants, Loans","Physics & Materials Science Building, 800 W Campbell Rd, Richardson, TX 75080","Energy systems analyst; Battery supply chain specialist; Sustainability consultant"
"The University of Texas at San Antonio","www.utsa.edu/","San ?Antonio","Texas","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","189","59","Unknown","Unknown","Unknown","Unknown","0","0","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Financial Aid: Scholarships, Grants, Loans","One UTSA Circle, San Antonio, TX 78249","Unknown"
"The University of Texas at El Paso","https://www.utep.edu/","El Paso","Texas","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","170","78","Yes","In Person","Fall","1 year","0","2","No","Certificate","Program","Electric Power and Energy Systems","Electrical and Computer Engineering Department","ece@ece.utep.edu","915-747-5470","https://catalog.utep.edu/grad/college-of-engineering/electrical-computer-engineering/electric-power-energy-systems-graduate-certificate/","Bachelor's degree","https://www.utep.edu/extendeduniversity/utepconnect/tuition-and-fees/","Financial Aid: Scholarships, Grants, Loans","Electrical & Computer Engineering, Engineering Building, Room A-325, 500 W University, El Paso, TX 79968","Power systems engineer, power engineer, electrical engineer, systems engineer"
"The University of Texas at El Paso","https://www.utep.edu/","El Paso","Texas","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","170","78","Yes","In Person","Fall","2-6 years","0","2","No","Research","Program","Power and Renewable Energy Systems Lab","Dr. Paras Manadl","pmandal@utep.edu","915-747-8653","https://www.utep.edu/engineering/pres/","Contact POC for more information","Contact POC for more information","Grants","PRES Lab, Engineering Building, Room A-339, 500 W University, El Paso, TX 79968","Power systems engineer, power engineer, electrical engineer, systems engineer"
"The University of Texas Permian Basin","https://www.utpb.edu/","Odessa","Texas","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","170","48","Yes","In Person","Summer","8 weeks","1","0","Yes","Research","Program","NSF IRES - Design and stability of anode materials for high performance lithium-ion batteries","Dr. Chao Dong","dong_c@utpb.edu","Unknown","https://www.utpb.edu/university-offices/research-and-sponsored-programs/nsf/nsf-funded-international-research-experiences-ires-program#:~:text=Design%20and%20Stability%20of%20anode%20materials%20for%20high%20performance%20lithium%2Dion%20batteries","Sophomore/Junior STEM students with a minimum GPA of 3.0","None","Grants","4901 E University Blvd, Odessa, TX 79762","Battery scientist"
"The University of Texas Rio Grande Valley","www.utrgv.edu/","Edinburg","Texas","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","176","43","Yes","In Person","Fall","2-6 years","1","0","Yes","Research","Program","Energy & Semiconductor Manufacturing","Dr. Jianzhi Li","jianzhi.li@utrgv.edu","Unknown","https://www.utrgv.edu/iam/research-divisions/energy-semiconductor-manufacturing/index.htm","Contact POC for more information","Contact POC for more information","Grants","EASFC 1.316, 501 N Sugar Rd, Edinburg, TX 78539","Manufacturing engineer, battery manufacturer, battery engineer, battery systems engineer"
"The University of Texas at Tyler","https://www.uttyler.edu/","Tyler","Texas","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","91","27","Yes","In Person","Fall","4 years","0","1","No","Bachelor's","Program","Electrical Engineering","Department of Electrical Engineering","ee@uttyler.edu","903-566-7417","https://www.uttyler.edu/academics/colleges-schools/engineering/departments/electrical-and-computer/undergraduate/electrical-engineering/syllabi/","Highschool diploma/GED","https://www.uttyler.edu/admissions-aid/tuition-financial-aid-fees/tuition-fees/","Financial Aid: Scholarships, Grants, Loans","RBN 2005, 3900 University Blvd., Tyler, TX 75799","Electrical engineer, electrical systems engineer"
